FMID,MostRecentOpeningDate
1001624,2016-12-31
1001625,2015-10-02
1001626,2013-11-13
1001628,2014-11-09
1001629,
1001630,2014-10-11
1001631,
1001632,
1001635,2013-10-26
1001638,2013-10-12
1001640,2016-10-27
1001641,2014-10-25
1001642,2014-10-25
1001646,
1001648,2016-12-17
1001649,2014-11-01
1001651,2014-12-16
1001653,
1001655,2016-11-19
1001657,2015-10-31
1001659,2011-10-31
1001660,2015-10-15
1001661,2016-11-05
1001664,
1001665,
1001666,
1001667,
1001668,
1001669,
1001672,2014-09-30
1001673,2014-03-30
1001674,
1001675,2014-10-25
1001676,
1001680,
1001681,
1001682,2013-08-30
1001683,
1001690,2016-12-22
1001691,2014-10-13
1001693,2013-10-03
1001695,
1001696,
1001700,2016-10-22
1001701,2016-10-29
1001703,
1001705,
1001709,2014-12-31
1001712,2013-12-31
1001715,2014-10-25
1001717,2015-03-29
1001722,
1001725,2014-11-01
1001726,2016-10-31
1001728,
1001729,
1001734,2015-12-31
1001735,2013-10-26
1001736,
1001738,2015-12-31
1001739,2016-10-29
1001740,2015-05-09
1001742,2013-09-25
1001748,2012-10-31
1001749,2014-10-25
1001751,
1001752,2013-12-31
1001755,2015-10-30
1001756,2012-10-31
1001760,2014-12-31
1001762,2016-10-01
1001763,2014-10-23
1001764,
1001765,2013-10-29
1001766,2013-10-17
1001767,
1001772,2016-04-09
1001773,2015-10-31
1001776,2014-09-26
1001778,
1001780,2016-10-08
1001781,
1001800,2014-09-25
1001802,2014-04-02
1001804,2016-12-31
1001808,2015-11-24
1001809,
1001811,
1001812,
1001815,2015-10-29
1001819,2013-09-24
1001829,2012-10-30
1001831,
1001832,
1001833,2014-09-28
1001837,
1001839,2014-12-31
1001840,
1001841,
1001844,2013-07-14
1001845,2014-06-07
1001846,2014-10-09
1001850,2014-10-31
1001851,
1001852,2016-12-31
1001855,2014-12-27
1001866,2015-04-25
1001867,2014-12-31
1001869,2016-10-15
1001873,2014-09-30
1001875,2016-09-24
1001876,2014-10-31
1001878,2013-12-31
1001883,2013-10-19
1001884,
1001885,
1001886,2016-08-31
1001887,2014-09-23
